# Polynomial metadata: 
# -- Order: 2 
# -- Trained on data: 'data/sieve_holes/fits_21Dec/V123.root'
# -- first-guess (fg) polynomial: 'data/poly/fits_21Dec/V123_fp_sv_L_4ord.dat'
# -- Input branches: { fg_x_sv fg_y_sv fg_dxdz_sv fg_dydz_sv fg_dpp_sv y_hcs }
# -- Time created: Mon Dec 29 16:41:53 2025

poly-DoF 6
is-RHRS 0
dpp_sv   2   0   0   0   0   0   +3.210175305e-12
dpp_sv   1   1   0   0   0   0   +8.648829777e-12
dpp_sv   1   0   1   0   0   0   -1.509992717e-11
dpp_sv   1   0   0   1   0   0   +5.458170880e-11
dpp_sv   1   0   0   0   1   0   -8.657324936e-12
dpp_sv   1   0   0   0   0   1   -5.129140324e-12
dpp_sv   1   0   0   0   0   0   +2.538659218e-12
dpp_sv   0   2   0   0   0   0   +2.293992899e-12
dpp_sv   0   1   1   0   0   0   -3.138358297e-11
dpp_sv   0   1   0   1   0   0   +1.176098114e-13
dpp_sv   0   1   0   0   1   0   +2.556092840e-11
dpp_sv   0   1   0   0   0   1   +4.224362701e-12
dpp_sv   0   1   0   0   0   0   -1.314607830e-13
dpp_sv   0   0   2   0   0   0   +1.050202915e-11
dpp_sv   0   0   1   1   0   0   -3.077269541e-11
dpp_sv   0   0   1   0   1   0   +7.004038002e-12
dpp_sv   0   0   1   0   0   1   +5.459708526e-12
dpp_sv   0   0   1   0   0   0   -2.360282698e-12
dpp_sv   0   0   0   2   0   0   -1.849749155e-11
dpp_sv   0   0   0   1   1   0   -2.242609007e-11
dpp_sv   0   0   0   1   0   1   +9.010643629e-12
dpp_sv   0   0   0   1   0   0   -7.661702201e-13
dpp_sv   0   0   0   0   2   0   +1.010600129e-11
dpp_sv   0   0   0   0   1   1   +1.201052901e-11
dpp_sv   0   0   0   0   1   0   +1.000000000e+00
dpp_sv   0   0   0   0   0   2   +1.283406764e-10
dpp_sv   0   0   0   0   0   1   -9.033613872e-13
dpp_sv   0   0   0   0   0   0   -2.299212277e-15
dxdz_sv   2   0   0   0   0   0   +9.687450735e-01
dxdz_sv   1   1   0   0   0   0   -5.542148285e-01
dxdz_sv   1   0   1   0   0   0   -1.417854133e+00
dxdz_sv   1   0   0   1   0   0   +1.039912067e+01
dxdz_sv   1   0   0   0   1   0   +1.429086947e-02
dxdz_sv   1   0   0   0   0   1   +2.626127375e+00
dxdz_sv   1   0   0   0   0   0   +8.101514806e-01
dxdz_sv   0   2   0   0   0   0   -7.092926943e-02
dxdz_sv   0   1   1   0   0   0   -9.679964794e+00
dxdz_sv   0   1   0   1   0   0   +1.964547944e-01
dxdz_sv   0   1   0   0   1   0   -1.049214134e-02
dxdz_sv   0   1   0   0   0   1   +8.175559500e+00
dxdz_sv   0   1   0   0   0   0   -3.685502552e-02
dxdz_sv   0   0   2   0   0   0   +5.072489423e-01
dxdz_sv   0   0   1   1   0   0   -1.863194922e-01
dxdz_sv   0   0   1   0   1   0   -6.580129179e-03
dxdz_sv   0   0   1   0   0   1   -2.992657921e+00
dxdz_sv   0   0   1   0   0   0   +2.807463092e-01
dxdz_sv   0   0   0   2   0   0   -8.690413086e-02
dxdz_sv   0   0   0   1   1   0   +1.787601056e-02
dxdz_sv   0   0   0   1   0   1   +2.725671352e+00
dxdz_sv   0   0   0   1   0   0   +2.091625852e-02
dxdz_sv   0   0   0   0   2   0   -5.690505555e-04
dxdz_sv   0   0   0   0   1   1   -1.994427143e-01
dxdz_sv   0   0   0   0   1   0   +8.950139197e-04
dxdz_sv   0   0   0   0   0   2   -1.200995206e-01
dxdz_sv   0   0   0   0   0   1   +3.659461502e-01
dxdz_sv   0   0   0   0   0   0   +7.592104994e-04
dydz_sv   2   0   0   0   0   0   +1.552411097e+00
dydz_sv   1   1   0   0   0   0   +1.222456771e-01
dydz_sv   1   0   1   0   0   0   -2.326097048e+00
dydz_sv   1   0   0   1   0   0   +1.199611138e-01
dydz_sv   1   0   0   0   1   0   -2.567808530e-03
dydz_sv   1   0   0   0   0   1   +6.628213792e+00
dydz_sv   1   0   0   0   0   0   -1.052977750e-02
dydz_sv   0   2   0   0   0   0   -1.030516659e-01
dydz_sv   0   1   1   0   0   0   -1.545865168e-01
dydz_sv   0   1   0   1   0   0   +2.115621078e-01
dydz_sv   0   1   0   0   1   0   +3.498052355e-03
dydz_sv   0   1   0   0   0   1   +2.139610617e-01
dydz_sv   0   1   0   0   0   0   -2.577418476e-03
dydz_sv   0   0   2   0   0   0   +8.240657340e-01
dydz_sv   0   0   1   1   0   0   -4.708819970e-02
dydz_sv   0   0   1   0   1   0   +2.578899165e-03
dydz_sv   0   0   1   0   0   1   -1.267231370e+00
dydz_sv   0   0   1   0   0   0   -7.760057539e-03
dydz_sv   0   0   0   2   0   0   -1.307785774e-01
dydz_sv   0   0   0   1   1   0   +3.781852616e-03
dydz_sv   0   0   0   1   0   1   +2.055174628e-01
dydz_sv   0   0   0   1   0   0   +1.000881328e+00
dydz_sv   0   0   0   0   2   0   -9.278523473e-04
dydz_sv   0   0   0   0   1   1   -4.554253789e-01
dydz_sv   0   0   0   0   1   0   +1.895005479e-03
dydz_sv   0   0   0   0   0   2   -3.480730982e+00
dydz_sv   0   0   0   0   0   1   +2.042313374e-02
dydz_sv   0   0   0   0   0   0   +1.456833405e-05
x_sv   2   0   0   0   0   0   +2.200298246e-01
x_sv   1   1   0   0   0   0   -8.715079572e-01
x_sv   1   0   1   0   0   0   -3.404576856e-01
x_sv   1   0   0   1   0   0   -5.440932458e+00
x_sv   1   0   0   0   1   0   -1.353091264e-03
x_sv   1   0   0   0   0   1   +7.772126612e+00
x_sv   1   0   0   0   0   0   +5.367326244e-01
x_sv   0   2   0   0   0   0   -5.332703302e-02
x_sv   0   1   1   0   0   0   +5.679855198e+00
x_sv   0   1   0   1   0   0   +1.293093944e-01
x_sv   0   1   0   0   1   0   -8.393666149e-03
x_sv   0   1   0   0   0   1   +9.604755293e+00
x_sv   0   1   0   0   0   0   -4.300314506e-02
x_sv   0   0   2   0   0   0   +1.352788469e-01
x_sv   0   0   1   1   0   0   +3.139011586e-01
x_sv   0   0   1   0   1   0   +5.931375200e-03
x_sv   0   0   1   0   0   1   -6.684724649e+00
x_sv   0   0   1   0   0   0   +4.110354168e-01
x_sv   0   0   0   2   0   0   -1.449260095e-01
x_sv   0   0   0   1   1   0   +9.222220288e-03
