# Polynomial metadata: 
# -- Order: 4
# -- Trained on data: 'data/sieve_holes/fits_21Dec/V123.root'
# -- Input branches: { x_sv y_sv dxdz_sv dydz_sv dpp_sv }
# -- Time created: Mon Dec 29 16:49:44 2025

poly-DoF 5
is-RHRS 0
dxdz_fp   4   0   0   0   0   +5.389413255e+04
dxdz_fp   3   1   0   0   0   -5.802662835e+04
dxdz_fp   3   0   1   0   0   -1.669651956e+05
dxdz_fp   3   0   0   1   0   +9.592449104e+03
dxdz_fp   3   0   0   0   1   +1.274085359e+04
dxdz_fp   3   0   0   0   0   -6.153519036e+02
dxdz_fp   2   2   0   0   0   +6.894619903e+03
dxdz_fp   2   1   1   0   0   +1.341637550e+05
dxdz_fp   2   1   0   1   0   -6.652426845e+03
dxdz_fp   2   1   0   0   1   -1.072425765e+03
dxdz_fp   2   1   0   0   0   -1.678912459e+02
dxdz_fp   2   0   2   0   0   +1.978428014e+05
dxdz_fp   2   0   1   1   0   -1.607468226e+04
dxdz_fp   2   0   1   0   1   -2.968848333e+04
dxdz_fp   2   0   1   0   0   +1.416029776e+03
dxdz_fp   2   0   0   2   0   +1.822065376e+04
dxdz_fp   2   0   0   1   1   +3.899897395e+02
dxdz_fp   2   0   0   1   0   +7.236091565e+02
dxdz_fp   2   0   0   0   2   -5.408286453e+02
dxdz_fp   2   0   0   0   1   +8.241987623e+01
dxdz_fp   2   0   0   0   0   -4.711051543e+00
dxdz_fp   1   3   0   0   0   +4.287816210e+06
dxdz_fp   1   2   1   0   0   -1.435096238e+04
dxdz_fp   1   2   0   1   0   -1.025667270e+07
dxdz_fp   1   2   0   0   1   -3.035498904e+03
dxdz_fp   1   2   0   0   0   +1.002302724e+05
dxdz_fp   1   1   2   0   0   -1.044077630e+05
dxdz_fp   1   1   1   1   0   +5.508924665e+03
dxdz_fp   1   1   1   0   1   +1.301162068e+03
dxdz_fp   1   1   1   0   0   +1.785097894e+02
dxdz_fp   1   1   0   2   0   +8.005288226e+06
dxdz_fp   1   1   0   1   1   +1.749871165e+03
dxdz_fp   1   1   0   1   0   -1.872884513e+05
dxdz_fp   1   1   0   0   2   -3.359425586e+02
dxdz_fp   1   1   0   0   1   -9.013759479e+01
dxdz_fp   1   1   0   0   0   -3.486841617e+02
dxdz_fp   1   0   3   0   0   -1.048610735e+05
dxdz_fp   1   0   2   1   0   +1.165140227e+04
dxdz_fp   1   0   2   0   1   +2.231021471e+04
dxdz_fp   1   0   2   0   0   -1.269355313e+03
dxdz_fp   1   0   1   2   0   -1.883693604e+04
dxdz_fp   1   0   1   1   1   -1.079568007e+03
dxdz_fp   1   0   1   1   0   -1.095471965e+03
dxdz_fp   1   0   1   0   2   +7.910877848e+02
dxdz_fp   1   0   1   0   1   -1.490663542e+02
dxdz_fp   1   0   1   0   0   +8.080321411e+00
dxdz_fp   1   0   0   3   0   -2.036325010e+06
dxdz_fp   1   0   0   2   1   -4.726271267e+02
dxdz_fp   1   0   0   2   0   +8.439458021e+04
dxdz_fp   1   0   0   1   2   +4.497926080e+02
dxdz_fp   1   0   0   1   1   +3.487798689e+01
dxdz_fp   1   0   0   1   0   +6.325998919e+01
