# Polynomial metadata: 
# -- Order: 4
# -- Trained on data: 'data/sieve_holes/fits_29Mar/V123.root'
# -- Input branches: { x_sv y_sv dxdz_sv dydz_sv dpp_sv }
# -- Time created: Fri Apr 17 04:24:28 2026

poly-DoF 5
is-RHRS 1
dxdz_fp   4   0   0   0   0   +4.167622280e+04
dxdz_fp   3   1   0   0   0   +3.145138574e+04
dxdz_fp   3   0   1   0   0   -1.359714439e+05
dxdz_fp   3   0   0   1   0   -6.500686515e+04
dxdz_fp   3   0   0   0   1   -4.344414196e+03
dxdz_fp   3   0   0   0   0   +8.777053504e+02
dxdz_fp   2   2   0   0   0   +3.549574524e+04
dxdz_fp   2   1   1   0   0   -5.563358205e+04
dxdz_fp   2   1   0   1   0   -4.655153614e+04
dxdz_fp   2   1   0   0   1   -3.218713504e+03
dxdz_fp   2   1   0   0   0   -2.269853158e+02
dxdz_fp   2   0   2   0   0   +1.636174582e+05
dxdz_fp   2   0   1   1   0   +1.394561119e+05
dxdz_fp   2   0   1   0   1   +1.386279001e+04
dxdz_fp   2   0   1   0   0   -1.664278478e+03
dxdz_fp   2   0   0   2   0   +2.403539735e+04
dxdz_fp   2   0   0   1   1   +5.661319127e+03
dxdz_fp   2   0   0   1   0   +2.922600074e+02
dxdz_fp   2   0   0   0   2   +2.368804452e+03
dxdz_fp   2   0   0   0   1   +1.863200206e+01
dxdz_fp   2   0   0   0   0   -1.603169072e+01
dxdz_fp   1   3   0   0   0   -2.902237525e+06
dxdz_fp   1   2   1   0   0   -5.026187723e+04
dxdz_fp   1   2   0   1   0   +6.940307150e+06
dxdz_fp   1   2   0   0   1   +1.117714774e+03
dxdz_fp   1   2   0   0   0   +3.069401637e+04
dxdz_fp   1   1   2   0   0   +3.073378936e+04
dxdz_fp   1   1   1   1   0   +5.534724674e+04
dxdz_fp   1   1   1   0   1   +4.774597599e+03
dxdz_fp   1   1   1   0   0   +4.139949257e+02
dxdz_fp   1   1   0   2   0   -5.422209048e+06
dxdz_fp   1   1   0   1   1   -1.396369482e+03
dxdz_fp   1   1   0   1   0   -7.344312565e+04
dxdz_fp   1   1   0   0   2   -7.217887894e+02
dxdz_fp   1   1   0   0   1   +1.242992634e+01
dxdz_fp   1   1   0   0   0   +1.203799746e+03
dxdz_fp   1   0   3   0   0   -8.597164089e+04
dxdz_fp   1   0   2   1   0   -1.008826258e+05
dxdz_fp   1   0   2   0   1   -1.377915574e+04
dxdz_fp   1   0   2   0   0   +9.235527939e+02
dxdz_fp   1   0   1   2   0   -3.196519547e+04
dxdz_fp   1   0   1   1   1   -8.175279378e+03
dxdz_fp   1   0   1   1   0   -3.770282661e+02
dxdz_fp   1   0   1   0   2   -3.810617312e+03
dxdz_fp   1   0   1   0   1   -5.673447066e+01
dxdz_fp   1   0   1   0   0   +2.246651118e+01
dxdz_fp   1   0   0   3   0   +1.382560539e+06
dxdz_fp   1   0   0   2   1   -6.544843197e+02
dxdz_fp   1   0   0   2   0   +3.843497439e+04
dxdz_fp   1   0   0   1   2   +2.745306373e+02
